customer_id,age,gender,city_tier,income_bracket,acquisition_channel,num_visits,avg_basket_size,discount_pct,category,brand_tier,flash_sale_response,flash_sale_frequency,nps_score,basket_trend,willingness_full_price,repurchase_intent,months_active,premium_loyal
TIRA00076,35,Female,Tier 3,₹3L-6L,In-Store,9,2582.0,3.8,Fragrance,Premium,0,6,7.8,2534.0,1,1,11,1
TIRA00077,26,Female,Tier 2,₹6L-12L,Influencer,7,2107.0,12.2,Fragrance,Premium,0,4,6.3,1978.0,1,0,8,0
TIRA00078,31,Female,Tier 3,₹12L-25L,Influencer,10,1127.0,41.8,Wellness,Premium,1,1,6.9,892.0,0,0,2,0
TIRA00079,35,Female,Tier 1,₹6L-12L,App,10,2587.0,27.7,Skincare,Premium,0,3,6.9,2228.0,0,0,28,0
TIRA00080,27,Female,Tier 3,₹3L-6L,Word of Mouth,9,1518.0,32.7,Skincare,Premium,1,3,5.7,1270.0,0,0,11,0
TIRA00081,33,Female,Tier 1,₹6L-12L,In-Store,9,4352.0,19.4,Skincare,Masstige,0,2,5.6,3931.0,1,0,8,0
TIRA00082,24,Female,Tier 1,₹6L-12L,In-Store,7,3085.0,2.2,Fragrance,Premium,0,3,10.0,3050.0,1,1,33,1
TIRA00083,27,Female,Tier 1,₹3L-6L,Influencer,8,4327.0,80.0,Haircare,Masstige,1,3,5.6,2596.0,0,0,35,0
TIRA00084,26,Female,Tier 2,₹12L-25L,Influencer,7,4959.0,37.9,Makeup,Luxury,1,2,7.0,4020.0,0,1,15,1
TIRA00085,20,Female,Tier 3,₹3L-6L,In-Store,8,2162.0,58.4,Makeup,Premium,1,1,5.5,1531.0,0,0,21,0
TIRA00086,33,Female,Tier 2,₹6L-12L,Influencer,7,2783.0,39.9,Makeup,Premium,1,4,7.1,2227.0,0,1,29,0
TIRA00087,26,Male,Tier 2,₹12L-25L,Word of Mouth,8,4798.0,34.8,Makeup,Premium,1,5,5.6,3964.0,0,0,22,0
TIRA00088,30,Non-binary,Tier 1,₹12L-25L,Paid Ad,6,3427.0,17.4,Makeup,Masstige,0,6,7.5,3128.0,1,1,10,1
TIRA00089,33,Male,Tier 1,₹6L-12L,Paid Ad,10,3826.0,6.0,Makeup,Masstige,0,3,8.0,3711.0,1,1,27,1
TIRA00090,33,Female,Tier 1,₹6L-12L,App,12,4440.0,10.8,Skincare,Masstige,0,6,6.5,4201.0,1,0,5,0
TIRA00091,35,Female,Tier 1,₹6L-12L,In-Store,4,4276.0,3.7,Skincare,Premium,0,1,7.7,4196.0,1,1,20,1
TIRA00092,29,Female,Tier 1,₹25L+,Influencer,10,3692.0,41.9,Skincare,Premium,1,3,5.9,2918.0,0,0,18,0
TIRA00093,26,Male,Tier 3,₹6L-12L,App,10,4876.0,78.9,Wellness,Masstige,1,1,4.1,2953.0,0,0,21,0
TIRA00094,29,Male,Tier 2,₹6L-12L,Paid Ad,8,3118.0,39.3,Wellness,Premium,1,3,5.9,2505.0,0,0,25,0
TIRA00095,18,Male,Tier 2,₹6L-12L,In-Store,5,3823.0,13.0,Haircare,Premium,0,3,5.8,3574.0,1,0,3,0
TIRA00096,18,Male,Tier 1,₹6L-12L,App,7,2988.0,40.9,Fragrance,Premium,1,3,7.4,2377.0,0,1,30,0
TIRA00097,19,Female,Tier 1,₹6L-12L,App,6,4425.0,31.1,Skincare,Premium,1,4,8.3,3737.0,0,1,11,1
TIRA00098,22,Male,Tier 1,₹3L-6L,App,10,2359.0,61.3,Skincare,Luxury,1,1,4.6,1636.0,0,0,9,0
TIRA00099,33,Male,Tier 1,₹12L-25L,In-Store,12,1181.0,64.7,Skincare,Premium,1,2,6.5,799.0,0,0,19,0
TIRA00100,22,Female,Tier 1,₹12L-25L,Influencer,17,3986.0,20.3,Skincare,Premium,0,2,7.2,3580.0,1,1,35,1
TIRA00101,26,Male,Tier 1,₹12L-25L,Influencer,13,1976.0,8.8,Haircare,Premium,0,2,7.6,1889.0,1,1,30,1
TIRA00102,40,Female,Tier 1,₹12L-25L,App,7,1857.0,26.5,Skincare,Luxury,0,5,5.6,1611.0,0,0,18,0
TIRA00103,27,Non-binary,Tier 2,₹6L-12L,App,9,4718.0,23.3,Luxury Tools,Premium,0,4,6.5,4169.0,1,0,21,0
TIRA00104,35,Male,Tier 1,₹25L+,Paid Ad,11,4360.0,17.5,Haircare,Masstige,0,3,7.8,3978.0,1,1,18,1
TIRA00105,22,Female,Tier 1,₹12L-25L,App,12,2789.0,23.0,Skincare,Masstige,0,1,6.1,2468.0,1,0,24,0
TIRA00106,28,Female,Tier 1,₹12L-25L,In-Store,9,500.0,36.8,Fragrance,Premium,1,1,5.8,408.0,0,0,31,0
TIRA00107,22,Female,Tier 1,₹12L-25L,In-Store,14,3840.0,4.9,Fragrance,Premium,0,2,7.3,3746.0,1,1,5,1
TIRA00108,27,Male,Tier 1,₹6L-12L,Influencer,9,3995.0,24.5,Makeup,Premium,0,4,3.6,3506.0,1,0,15,0
TIRA00109,36,Male,Tier 1,₹6L-12L,Paid Ad,7,3820.0,37.2,Skincare,Masstige,1,2,6.8,3109.0,0,0,20,0
TIRA00110,18,Female,Tier 2,₹6L-12L,Influencer,7,3765.0,54.1,Makeup,Masstige,1,4,6.5,2747.0,0,0,27,0
TIRA00111,33,Male,Tier 1,₹3L-6L,Word of Mouth,8,2982.0,33.5,Makeup,Premium,1,7,7.0,2483.0,0,1,4,0
TIRA00112,31,Female,Tier 3,₹6L-12L,Paid Ad,13,2707.0,31.4,Haircare,Premium,1,2,7.7,2282.0,0,1,20,0
TIRA00113,25,Female,Tier 1,₹3L-6L,App,5,1873.0,22.9,Skincare,Luxury,0,3,6.6,1658.0,1,0,28,0
TIRA00114,18,Female,Tier 1,₹3L-6L,App,9,2363.0,2.2,Fragrance,Premium,0,1,9.7,2337.0,1,1,5,1
TIRA00115,30,Female,Tier 1,₹25L+,In-Store,7,3586.0,7.3,Skincare,Masstige,0,1,6.9,3455.0,1,0,7,0
TIRA00116,25,Female,Tier 1,₹12L-25L,In-Store,9,3606.0,44.8,Wellness,Premium,1,0,6.0,2798.0,0,0,2,0
TIRA00117,31,Female,Tier 1,₹12L-25L,Influencer,5,4148.0,36.9,Skincare,Premium,1,1,6.2,3383.0,0,0,30,0
TIRA00118,30,Female,Tier 3,₹6L-12L,App,10,1512.0,15.4,Fragrance,Premium,0,4,7.6,1396.0,1,1,33,1
TIRA00119,42,Female,Tier 1,₹12L-25L,App,4,1209.0,28.7,Skincare,Premium,0,4,6.6,1035.0,0,0,17,0
TIRA00120,28,Male,Tier 2,₹25L+,In-Store,6,2744.0,21.3,Haircare,Luxury,0,3,7.0,2451.0,1,1,31,0
TIRA00121,21,Female,Tier 1,₹12L-25L,Influencer,10,1976.0,1.2,Fragrance,Masstige,0,2,7.3,1964.0,1,1,21,1
TIRA00122,31,Male,Tier 1,₹12L-25L,Influencer,13,3423.0,23.2,Skincare,Masstige,0,4,6.6,3026.0,1,0,35,0
TIRA00123,31,Female,Tier 1,₹6L-12L,Word of Mouth,4,1628.0,39.8,Skincare,Masstige,1,4,4.2,1304.0,0,0,4,0
TIRA00124,40,Female,Tier 1,₹6L-12L,App,9,4616.0,34.0,Wellness,Luxury,1,4,7.4,3832.0,0,1,24,1
TIRA00125,36,Female,Tier 1,₹12L-25L,In-Store,3,2214.0,56.9,Wellness,Premium,1,3,4.7,1584.0,0,0,26,0
TIRA00126,32,Female,Tier 3,₹25L+,Word of Mouth,5,5111.0,29.2,Haircare,Masstige,0,3,6.3,4364.0,0,0,23,0
TIRA00127,41,Female,Tier 2,₹6L-12L,Influencer,8,3829.0,30.9,Makeup,Masstige,1,2,5.7,3238.0,0,0,18,0
TIRA00128,20,Female,Tier 3,₹6L-12L,Influencer,7,1934.0,35.4,Skincare,Masstige,1,5,7.2,1592.0,0,1,8,0
TIRA00129,24,Female,Tier 1,₹6L-12L,In-Store,7,5714.0,20.9,Makeup,Premium,0,4,6.6,5117.0,1,0,6,0
TIRA00130,22,Female,Tier 2,₹6L-12L,App,10,3519.0,10.9,Haircare,Premium,0,2,5.1,3326.0,1,0,23,0
TIRA00131,26,Female,Tier 2,₹25L+,Paid Ad,10,3399.0,23.6,Skincare,Premium,0,4,7.3,2999.0,1,1,21,0
TIRA00132,18,Female,Tier 2,₹12L-25L,Influencer,5,3122.0,34.9,Skincare,Premium,1,2,5.9,2576.0,0,0,18,0
TIRA00133,35,Male,Tier 3,₹6L-12L,Influencer,6,3760.0,74.7,Luxury Tools,Luxury,1,3,5.0,2356.0,0,0,2,0
TIRA00134,28,Female,Tier 2,₹6L-12L,In-Store,7,3831.0,29.4,Haircare,Premium,0,3,7.7,3268.0,0,1,14,1
TIRA00135,18,Non-binary,Tier 3,₹6L-12L,In-Store,4,2162.0,80.0,Haircare,Luxury,1,1,3.8,1297.0,0,0,31,0
TIRA00136,21,Male,Tier 2,₹3L-6L,App,6,2944.0,34.0,Luxury Tools,Premium,1,1,6.6,2443.0,0,0,24,0
TIRA00137,32,Non-binary,Tier 1,₹12L-25L,Paid Ad,13,3339.0,35.9,Makeup,Premium,1,0,5.8,2739.0,0,0,27,0
TIRA00138,36,Male,Tier 2,₹12L-25L,In-Store,9,3899.0,19.2,Skincare,Premium,0,2,8.2,3524.0,1,1,3,1
TIRA00139,45,Female,Tier 1,₹12L-25L,App,6,3920.0,15.4,Luxury Tools,Luxury,0,1,7.5,3618.0,1,1,16,1
TIRA00140,53,Female,Tier 3,₹6L-12L,In-Store,4,3397.0,80.0,Wellness,Premium,1,2,4.8,2038.0,0,0,18,0
TIRA00141,33,Female,Tier 2,₹12L-25L,Word of Mouth,8,2540.0,25.2,Skincare,Premium,0,4,5.7,2219.0,0,0,28,0
TIRA00142,22,Male,Tier 1,₹12L-25L,In-Store,5,2478.0,11.2,Skincare,Premium,0,2,8.3,2339.0,1,1,27,1
TIRA00143,18,Female,Tier 1,₹6L-12L,In-Store,7,1770.0,63.0,Makeup,Luxury,1,4,6.4,1212.0,0,0,4,0
TIRA00144,32,Female,Tier 1,₹12L-25L,Influencer,6,3911.0,25.7,Skincare,Masstige,0,3,6.2,3409.0,0,0,30,0
TIRA00145,23,Male,Tier 1,₹12L-25L,Paid Ad,4,2461.0,22.1,Skincare,Premium,0,2,7.3,2189.0,1,1,2,0
TIRA00146,26,Female,Tier 1,₹12L-25L,Influencer,9,2970.0,5.8,Skincare,Masstige,0,1,8.4,2884.0,1,1,18,0
TIRA00147,25,Female,Tier 2,₹3L-6L,Paid Ad,7,3485.0,51.8,Haircare,Luxury,1,4,8.1,2583.0,0,1,9,1
TIRA00148,28,Male,Tier 2,₹6L-12L,App,7,3205.0,48.6,Skincare,Luxury,1,3,6.4,2426.0,0,0,13,0
TIRA00149,38,Female,Tier 2,₹6L-12L,Word of Mouth,6,3193.0,43.7,Fragrance,Premium,1,3,6.3,2496.0,0,0,15,0
TIRA00150,31,Female,Tier 1,₹3L-6L,Word of Mouth,12,2114.0,43.6,Makeup,Premium,1,5,6.1,1653.0,0,0,21,0
TIRA00151,28,Male,Tier 1,₹6L-12L,In-Store,7,3523.0,22.6,Makeup,Premium,0,9,7.0,3125.0,1,1,2,1
TIRA00152,21,Female,Tier 1,₹12L-25L,Influencer,12,2825.0,29.3,Fragrance,Premium,0,4,7.6,2411.0,0,1,5,0
TIRA00153,18,Female,Tier 3,₹3L-6L,App,6,3096.0,37.5,Haircare,Masstige,1,1,5.6,2515.0,0,0,25,0
TIRA00154,26,Female,Tier 1,₹6L-12L,In-Store,8,4590.0,28.9,Haircare,Luxury,0,3,7.8,3927.0,0,1,4,1
TIRA00155,29,Female,Tier 1,₹25L+,App,4,3806.0,36.1,Fragrance,Premium,1,4,5.0,3119.0,0,0,9,0
TIRA00156,44,Female,Tier 1,₹12L-25L,App,8,2515.0,32.5,Fragrance,Masstige,1,4,7.4,2107.0,0,1,29,0
TIRA00157,31,Male,Tier 2,₹6L-12L,Word of Mouth,3,3021.0,38.5,Haircare,Premium,1,2,7.4,2440.0,0,1,8,0
TIRA00158,37,Male,Tier 1,₹12L-25L,App,5,5119.0,9.2,Haircare,Masstige,0,3,8.4,4883.0,1,1,5,1
TIRA00159,26,Female,Tier 2,₹6L-12L,Influencer,8,2831.0,4.9,Makeup,Premium,0,0,8.1,2762.0,1,1,17,1
TIRA00160,20,Female,Tier 2,₹3L-6L,In-Store,2,3248.0,61.6,Haircare,Premium,1,1,5.9,2248.0,0,0,15,0
TIRA00161,22,Female,Tier 2,₹12L-25L,In-Store,12,3997.0,56.4,Makeup,Premium,1,4,5.3,2870.0,0,0,5,0
TIRA00162,24,Female,Tier 1,₹6L-12L,In-Store,3,3458.0,33.6,Wellness,Masstige,1,5,5.5,2877.0,0,0,15,0
TIRA00163,47,Female,Tier 1,₹6L-12L,In-Store,6,2753.0,25.0,Makeup,Premium,0,2,7.2,2409.0,0,1,30,0
TIRA00164,23,Female,Tier 1,₹3L-6L,Influencer,7,2308.0,43.5,Skincare,Premium,1,4,6.3,1806.0,0,0,35,0
TIRA00165,36,Female,Tier 1,₹12L-25L,Word of Mouth,9,3188.0,39.7,Makeup,Premium,1,2,7.3,2555.0,0,1,3,1
TIRA00166,22,Non-binary,Tier 2,₹3L-6L,In-Store,5,3990.0,55.3,Makeup,Premium,1,3,5.6,2886.0,0,0,25,0
TIRA00167,37,Female,Tier 1,₹12L-25L,Word of Mouth,8,4785.0,17.8,Makeup,Premium,0,4,7.4,4358.0,1,1,25,1
TIRA00168,33,Male,Tier 1,₹6L-12L,Influencer,8,1442.0,21.8,Makeup,Premium,0,1,7.4,1285.0,1,1,27,0
TIRA00169,28,Female,Tier 1,₹12L-25L,Influencer,10,5315.0,26.1,Luxury Tools,Masstige,0,3,7.5,4620.0,0,1,27,0
TIRA00170,29,Male,Tier 2,₹6L-12L,App,10,2854.0,56.7,Skincare,Masstige,1,3,6.7,2045.0,0,0,24,0
TIRA00171,24,Female,Tier 1,₹6L-12L,App,11,4310.0,49.2,Wellness,Premium,1,1,5.1,3249.0,0,0,31,0
TIRA00172,33,Female,Tier 2,₹12L-25L,Paid Ad,11,2315.0,29.5,Haircare,Luxury,0,1,7.5,1973.0,0,1,10,0
TIRA00173,26,Male,Tier 1,₹12L-25L,Influencer,7,1267.0,22.0,Skincare,Premium,0,3,6.9,1128.0,1,0,5,0
TIRA00174,20,Male,Tier 3,₹6L-12L,In-Store,6,1624.0,15.8,Skincare,Premium,0,1,8.0,1496.0,1,1,13,1
TIRA00175,19,Female,Tier 2,₹6L-12L,Paid Ad,6,2803.0,45.5,Luxury Tools,Premium,1,2,7.7,2165.0,0,1,7,0
TIRA00176,31,Female,Tier 1,₹6L-12L,In-Store,6,3829.0,5.6,Fragrance,Premium,0,6,5.7,3723.0,1,0,7,1
TIRA00177,42,Female,Tier 1,₹6L-12L,Paid Ad,8,3237.0,63.5,Skincare,Masstige,1,2,6.7,2209.0,0,0,2,0
TIRA00178,31,Female,Tier 1,₹12L-25L,In-Store,8,2900.0,35.1,Makeup,Premium,1,3,6.5,2391.0,0,0,19,0
TIRA00179,29,Female,Tier 1,₹3L-6L,Word of Mouth,11,4542.0,60.5,Skincare,Premium,1,1,4.7,3167.0,0,0,29,0
TIRA00180,32,Male,Tier 1,₹12L-25L,App,9,3202.0,49.5,Makeup,Masstige,1,3,5.6,2410.0,0,0,3,0
TIRA00181,40,Female,Tier 3,₹3L-6L,App,12,3536.0,80.0,Skincare,Luxury,1,1,3.8,2121.0,0,0,24,0
TIRA00182,31,Female,Tier 2,₹6L-12L,Influencer,5,6933.0,22.5,Makeup,Luxury,0,3,7.6,6154.0,1,1,32,1
TIRA00183,26,Female,Tier 1,₹6L-12L,App,11,3190.0,26.0,Makeup,Masstige,0,1,5.9,2775.0,0,0,17,0
TIRA00184,38,Female,Tier 2,₹6L-12L,Word of Mouth,9,2365.0,47.1,Makeup,Masstige,1,4,7.3,1808.0,0,1,7,0
TIRA00185,33,Female,Tier 1,₹6L-12L,Influencer,9,3777.0,35.5,Skincare,Premium,1,0,7.3,3106.0,0,1,24,0
TIRA00186,42,Female,Tier 3,₹25L+,App,6,4081.0,47.4,Haircare,Luxury,1,3,6.3,3113.0,0,0,8,0
TIRA00187,31,Female,Tier 1,₹6L-12L,App,9,3561.0,9.3,Fragrance,Luxury,0,2,5.6,3396.0,1,0,5,1
TIRA00188,20,Female,Tier 2,₹12L-25L,Word of Mouth,8,3388.0,30.4,Haircare,Luxury,1,4,5.5,2873.0,0,0,17,0
TIRA00189,19,Male,Tier 2,₹6L-12L,Influencer,13,4979.0,4.7,Luxury Tools,Premium,0,5,7.7,4861.0,1,1,1,1
TIRA00190,43,Male,Tier 1,₹6L-12L,Paid Ad,11,4829.0,5.8,Fragrance,Luxury,0,5,7.7,4688.0,1,1,12,1
